source_id	record_id	source_table_index	source_row_index	article_and_id	reviewer_1_record	reviewer_2_record	consensus_working_record
1ziHc8g2isdCeJHOntjYqWhf0Q1EVXu1JC3gVJ0-QpeQ	GEARS-HV-001	0	1	"GEARS-HV-001 | FORMAL VALIDATION
Modeling interpretable correspondence between cell state and perturbation response with CellCap
DOI: 10.1101/2024.03.14.585078
Article page: https://doi.org/10.1101/2024.03.14.585078
Full text 1: https://www.biorxiv.org/content/biorxiv/early/2024/03/16/2024.03.14.585078.full.pdf
"	"Review status: LOCKED
Citation validity: Yes
Method executed: No
Uses (select all): 
Primary use: Mention only
Biological insight: No
Evidence sufficiency: Sufficient
Supporting quote + locator: or example, scGen uses a deep generative model to predict
67 the impact of one perturbation on a new cell population [10], and GEARS takes advantage of
68 prior biological knowledge to model nonlinear gene interactions and nonlinearities in response
69 to multiple perturbations [11].
Notes: 
"	"Review status: 
Citation validity: Yes
Method executed: No
Uses (select all): 
Primary use: Mention only
Biological insight: No
Evidence sufficiency: Yes
Supporting quote + locator: For example, scGen uses a deep generative model to predict the impact of one perturbation on a new cell population [10], and GEARS takes advantage of prior biological knowledge to model nonlinear gene interactions and nonlinearities in response to multiple perturbations [11]
Notes: 
"	"Comparison flag: MATCH — normalized core fields agree.
Consensus status: 
Citation validity: Yes
Method executed: No
Uses (select all): 
Primary use: Mention only
Biological insight: No
Evidence sufficiency: Sufficient
Supporting quote + locator: 
Resolution note: 
"
1ziHc8g2isdCeJHOntjYqWhf0Q1EVXu1JC3gVJ0-QpeQ	GEARS-HV-002	0	2	"GEARS-HV-002 | FORMAL VALIDATION
Single-cell technologies: current and near future
DOI: 10.1007/s11427-024-2813-y
Article page: https://doi.org/10.1007/s11427-024-2813-y
Full text 1: https://link.springer.com/content/pdf/10.1007/s11427-024-2813-y.pdf
"	"Review status: LOCKED
Citation validity: Yes
Method executed: No
Uses (select all): 
Primary use: Mention only
Biological insight: No
Evidence sufficiency: Sufficient
Supporting quote + locator: For scCRISPR data
analysis, existing bioinformatics tools
generally focus on three aspects, includ-
ing data preprocessing (Wei et al., 2023),
data denoising (Duan et al., 2019), and
functional analysis (Roohani et al.,
2024), aiming to uncover rich perturba-
tion information.
Notes: 
"	"Review status: 
Citation validity: Yes
Method executed: No
Uses (select all): 
Primary use: Mention only
Biological insight: No
Evidence sufficiency: Yes
Supporting quote + locator: One of the most impressive applications of single-cell multi-omic technologies is the joint profiling of mRNA expression and epigenomic states. For example
Notes: 
"	"Comparison flag: MATCH — normalized core fields agree.
Consensus status: 
Citation validity: Yes
Method executed: No
Uses (select all): 
Primary use: Mention only
Biological insight: No
Evidence sufficiency: Sufficient
Supporting quote + locator: 
Resolution note: 
"
1ziHc8g2isdCeJHOntjYqWhf0Q1EVXu1JC3gVJ0-QpeQ	GEARS-HV-003	0	3	"GEARS-HV-003 | FORMAL VALIDATION
rbio1 - training scientific reasoning LLMs with biological world models as soft verifiers
DOI: 10.1101/2025.08.18.670981
Article page: https://doi.org/10.1101/2025.08.18.670981
Full text 1: https://www.biorxiv.org/content/biorxiv/early/2025/08/21/2025.08.18.670981.full.pdf
"	"Review status: LOCKED
Citation validity: Yes
Method executed: Yes
Uses (select all): 
Primary use: Benchmark
Biological insight: No
Evidence sufficiency: Sufficient
Supporting quote + locator: We compare against: SUMMER [32] (retrieval + knowledge-based reasoning), GEARS [38] (a specialized perturbation model), and the base Qwen2.5-3B reasoning model without biological supervision.
Notes: 
"	"Review status: 
Citation validity: Yes
Method executed: Yes
Uses (select all): 
Primary use: Benchmark
Biological insight: No
Evidence sufficiency: Yes
Supporting quote + locator: We compare against: SUMMER [32] (retrieval + knowledge-based reasoning), GEARS [38] (a specialized perturbation model), and the base Qwen2.5-3B reasoning model without biological supervision.
Notes: 
"	"Comparison flag: MATCH — normalized core fields agree.
Consensus status: 
Citation validity: Yes
Method executed: Yes
Uses (select all): 
Primary use: Benchmark
Biological insight: No
Evidence sufficiency: Sufficient
Supporting quote + locator: 
Resolution note: 
"
1ziHc8g2isdCeJHOntjYqWhf0Q1EVXu1JC3gVJ0-QpeQ	GEARS-HV-004	0	4	"GEARS-HV-004 | FORMAL VALIDATION
Multimodal Benchmarking of Foundation Model Representations for Cellular Perturbation Response Prediction
DOI: 10.1101/2025.06.26.661186
Article page: https://doi.org/10.1101/2025.06.26.661186
Full text 1: https://www.biorxiv.org/content/biorxiv/early/2025/06/28/2025.06.26.661186.full.pdf
"	"Review status: LOCKED
Citation validity: Yes
Method executed: No
Uses (select all): 
Primary use: Mention only
Biological insight: No
Evidence sufficiency: Sufficient
Supporting quote + locator: There are many specialized perturbation response models one could use on top of such embeddings (e.g. Roohani et al. (2024), Lotfollahi et al. (2023), Piran et al. (2024)), but those models are beyond the scope of our work, which intentionally fixes a single model with a consistent training protocol.
Notes: 
"	"Review status: 
Citation validity: Yes
Method executed: No
Uses (select all): 
Primary use: Mention only
Biological insight: No
Evidence sufficiency: Yes
Supporting quote + locator: There are many specialized perturbation response models one could use on top of such embeddings (e.g. Roohani et al. (2024), Lotfollahi et al. (2023), Piran et al. (2024)), but those models are beyond the scope of our work, which intentionally fixes a single model with a consistent training protocol.
Notes: 
"	"Comparison flag: MATCH — normalized core fields agree.
Consensus status: 
Citation validity: Yes
Method executed: No
Uses (select all): 
Primary use: Mention only
Biological insight: No
Evidence sufficiency: Sufficient
Supporting quote + locator: 
Resolution note: 
"
1ziHc8g2isdCeJHOntjYqWhf0Q1EVXu1JC3gVJ0-QpeQ	GEARS-HV-005	0	5	"GEARS-HV-005 | FORMAL VALIDATION
GexMolGen: cross-modal generation of hit-like molecules via large language model encoding of gene expression signatures
DOI: 10.1093/bib/bbae525
Article page: https://doi.org/10.1093/bib/bbae525
Full text 1: https://www.biorxiv.org/content/biorxiv/early/2023/11/26/2023.11.11.566725.full.pdf
"	"Review status: LOCKED
Citation validity: Yes
Method executed: No
Uses (select all): 
Primary use: Extend
Biological insight: No
Evidence sufficiency: Sufficient
Supporting quote + locator: Instead of commonly using mean square loss, we use the autofocus direction-aware loss in GEARS [32].
Notes: 
"	"Review status: 
Citation validity: Yes
Method executed: No
Uses (select all): 
Primary use: Mention only
Biological insight: No
Evidence sufficiency: Yes
Supporting quote + locator: We further utilize the mask language model (MLM) task to fine-tune scGPT. Instead of commonly using mean square loss, we use the autofocus direction-aware loss in GEARS [32].
Notes: 
"	"Comparison flag: RESOLVED — human adjudication selected Mention only.
Consensus status: RECONCILED
Citation validity: Yes
Method executed: No
Uses (select all): Mention only
Primary use: Mention only
Biological insight: No
Evidence sufficiency: Sufficient
Supporting quote + locator: We further utilize the mask language model (MLM) task to fine-tune scGPT. Instead of commonly using mean square loss, we use the autofocus direction-aware loss in GEARS [32].
Resolution note: Human adjudication determined that GEARS itself was not executed; the paper only referred to a loss associated with GEARS.

"
1ziHc8g2isdCeJHOntjYqWhf0Q1EVXu1JC3gVJ0-QpeQ	GEARS-HV-006	0	6	"GEARS-HV-006 | FORMAL VALIDATION
Disentanglement of single-cell data with biolord
DOI: 10.1038/s41587-023-02079-x
Article page: https://doi.org/10.1038/s41587-023-02079-x
Full text 1: https://www.nature.com/articles/s41587-023-02079-x.pdf
"	"Review status: LOCKED
Citation validity: Yes
Method executed: Yes
Uses (select all): 
Primary use: Benchmark
Biological insight: No
Evidence sufficiency: Sufficient
Supporting quote + locator: We show that biolord outperforms GEARS in the prediction of unseen one-gene perturbation (normalized mean squared error, one of one gene unseen; GEARS: 0.47; biolord: 0.37) and two-gene perturbations (normalized mean squared error, two of two genes unseen; GEARS: 0.53; biolord: 0.50, one of one gene unseen; GEARS: 0.39; biolord: 0.35, zero of two genes unseen; GEARS: 0.28; biolord: 0.20; Methods; Supplementary Note 3 and Extended Data Fig. 2).
Notes: 
"	"Review status: 
Citation validity: Yes
Method executed: Yes
Uses (select all): 
Primary use: Benchmark
Biological insight: No
Evidence sufficiency: Yes
Supporting quote + locator: We show that biolord outperforms GEARS in the prediction of unseen one-gene perturbation (normalized mean squared error, one of one gene unseen; GEARS: 0.47; biolord: 0.37) and two-gene perturbations (normalized mean squared error, two of two genes unseen; GEARS: 0.53; biolord: 0.50, one of one gene unseen; GEARS: 0.39; biolord: 0.35, zero of two genes unseen; GEARS: 0.28; biolord: 0.20; Methods; Supplementary Note 3 and Extended Data Fig. 2).
Notes: 
"	"Comparison flag: MATCH — normalized core fields agree.
Consensus status: 
Citation validity: Yes
Method executed: Yes
Uses (select all): 
Primary use: Benchmark
Biological insight: No
Evidence sufficiency: Sufficient
Supporting quote + locator: 
Resolution note: 
"
1ziHc8g2isdCeJHOntjYqWhf0Q1EVXu1JC3gVJ0-QpeQ	GEARS-HV-007	0	7	"GEARS-HV-007 | FORMAL VALIDATION
Impact of the Human Cell Atlas on medicine
DOI: 10.1038/s41591-022-02104-7
Article page: https://doi.org/10.1038/s41591-022-02104-7
Full text 1: https://www.nature.com/articles/s41591-022-02104-7.pdf
"	"Review status: LOCKED
Citation validity: Yes
Method executed: No
Uses (select all): 
Primary use: Mention only
Biological insight: No
Evidence sufficiency: Sufficient
Supporting quote + locator: Moreover, machine-learning algorithms can increasingly be trained on such data to yield models that predict the impact of additional perturbations in one or more genes in the same cellular context or of the same perturbations in new biological contexts114,115,116.
Notes: 
"	"Review status: 
Citation validity: Yes
Method executed: No
Uses (select all): 
Primary use: Mention only
Biological insight: No
Evidence sufficiency: Yes
Supporting quote + locator: Moreover, machine-learning algorithms can increasingly be trained on such data to yield models that predict the impact of additional perturbations in one or more genes in the same cellular context or of the same perturbations in new biological contexts114,115,116.
Notes: 
"	"Comparison flag: MATCH — normalized core fields agree.
Consensus status: 
Citation validity: Yes
Method executed: No
Uses (select all): 
Primary use: Mention only
Biological insight: No
Evidence sufficiency: Sufficient
Supporting quote + locator: 
Resolution note: 
"
1ziHc8g2isdCeJHOntjYqWhf0Q1EVXu1JC3gVJ0-QpeQ	GEARS-HV-008	0	8	"GEARS-HV-008 | FORMAL VALIDATION
scFormer: A Universal Representation Learning Approach for Single-Cell Data Using Transformers
DOI: 10.1101/2022.11.20.517285
Article page: https://doi.org/10.1101/2022.11.20.517285
Full text 1: https://www.biorxiv.org/content/biorxiv/early/2022/11/22/2022.11.20.517285.full.pdf
"	"Review status: LOCKED
Citation validity: Yes
Method executed: Yes
Uses (select all): 
Primary use: Benchmark
Biological insight: No
Evidence sufficiency: Sufficient
Supporting quote + locator: We compare the performance against the recent GEARS method (Roohani et al., 2022) and the multi layer perceptron baseline.
Notes: 
"	"Review status: 
Citation validity: Yes
Method executed: Yes
Uses (select all): 
Primary use: Benchmark
Biological insight: No
Evidence sufficiency: Yes
Supporting quote + locator: We compare the performance against the recent GEARS method (Roohani et al., 2022) and the multi layer perceptron baseline.
Notes: 
"	"Comparison flag: MATCH — normalized core fields agree.
Consensus status: 
Citation validity: Yes
Method executed: Yes
Uses (select all): 
Primary use: Benchmark
Biological insight: No
Evidence sufficiency: Sufficient
Supporting quote + locator: 
Resolution note: 
"
1ziHc8g2isdCeJHOntjYqWhf0Q1EVXu1JC3gVJ0-QpeQ	GEARS-HV-009	0	9	"GEARS-HV-009 | FORMAL VALIDATION
Unagi: Deep Generative Model for Deciphering Cellular Dynamics and In-Silico Drug Discovery in Complex Diseases
DOI: 10.21203/rs.3.rs-3676579/v1
Article page: https://doi.org/10.21203/rs.3.rs-3676579/v1
Full text 1: https://www.researchsquare.com/article/rs-3676579/latest.pdf
"	"Review status: LOCKED
Citation validity: Yes
Method executed: No
Uses (select all): 
Primary use: Mention only
Biological insight: No
Evidence sufficiency: Sufficient
Supporting quote + locator: Although GEARS25 and scGen23 are able to perform in-silico
perturbations, they weren’t designed to process time-series data and require the in-vitro screening of
perturbation response of disease and drug treatments as the supervision.
Notes: 
"	"Review status: 
Citation validity: Yes
Method executed: No
Uses (select all): 
Primary use: Mention only
Biological insight: No
Evidence sufficiency: Yes
Supporting quote + locator: nt gap in current single-cell methodologies is the absence of
74


unsupervised
in-silico
exploration capabilities. Although GEARS
25
and scGen
23
are able to perform
in-silico
75


perturbations, they weren’t designed to process time-series data and require the
in-vitro
screening of
76


perturbation response of disease and drug treatments as the supervision. Thus, there is a pressing need for
77


methods that can virtually examine thousands of potential drugs and compounds on single-cell disease data
78


without ground truth training data.
Notes: 
"	"Comparison flag: MATCH — normalized core fields agree.
Consensus status: 
Citation validity: Yes
Method executed: No
Uses (select all): 
Primary use: Mention only
Biological insight: No
Evidence sufficiency: Sufficient
Supporting quote + locator: 
Resolution note: 
"
1ziHc8g2isdCeJHOntjYqWhf0Q1EVXu1JC3gVJ0-QpeQ	GEARS-HV-010	0	10	"GEARS-HV-010 | FORMAL VALIDATION
On the use of variational autoencoders for biomedical data integration
DOI: 10.1101/2025.08.18.670835
Article page: https://doi.org/10.1101/2025.08.18.670835
Full text 1: https://www.biorxiv.org/content/biorxiv/early/2025/08/22/2025.08.18.670835.full.pdf
"	"Review status: LOCKED
Citation validity: Yes
Method executed: Yes
Uses (select all): 
Primary use: Benchmark
Biological insight: No
Evidence sufficiency: Sufficient
Supporting quote + locator: These
values were comparable to those of the other models benchmarked in a single gene KD setting
by Ahlmann-Eltze et al., including foundation models such as scGPT (L2RPE1=6.88,
L2K562=4.41) graph-based models like GEARS (L2RPE1=6.33, L2K562=4.04), and their proposed
bilinear baseline (L2RPE1=5.84, L2K562=4.04) (Figure 6a,b, Supplementary Figure 16).
Notes: 
"	"Review status: 
Citation validity: Yes
Method executed: Yes
Uses (select all): 
Primary use: Benchmark
Biological insight: No
Evidence sufficiency: Yes
Supporting quote + locator: we compared MOVE’s performance with that of alternative methods including GEARS, CPA, scGPT and their baseline linear models. T
Notes: 
"	"Comparison flag: MATCH — normalized core fields agree.
Consensus status: 
Citation validity: Yes
Method executed: Yes
Uses (select all): 
Primary use: Benchmark
Biological insight: No
Evidence sufficiency: Sufficient
Supporting quote + locator: 
Resolution note: 
"
